MSA.Code,MSA.Name,Median Earnings: Men,Median Earnings: Women,Employment: Men,Employment: Women,Employment: Total,Earnings Difference (Women vs. Men),Earnings Percentage (Women vs. Men),Employment Difference (Women vs. Men),Employment Percentage (Women vs. Total),Group
10100,"Aberdeen, SD",50792,37312,9565,7060,16625,13480,0.734603875,2505,0.424661654,All (STEM and Non-STEM)
10100,"Aberdeen, SD",62750,40000,393,168,561,22750,0.637450199,225,0.299465241,All STEM
10100,"Aberdeen, SD",66042,63036,95,37,132,3006,0.95448351,58,0.28030303,Computer and Mathematical
10100,"Aberdeen, SD",63250,27147,210,91,301,36103,0.429201581,119,0.302325581,Architecture and Engineering
10100,"Aberdeen, SD",29167,36250,88,40,128,-7083,1.242842939,48,0.3125,"Life, Physical, and Social Sciences"
10140,"Aberdeen, WA",49462,39182,11036,8254,19290,10280,0.792163681,2782,0.427890098,All (STEM and Non-STEM)
10140,"Aberdeen, WA",65417,45875,578,309,887,19542,0.701270312,269,0.348365276,All STEM
10140,"Aberdeen, WA",74779,58393,261,137,398,16386,0.78087431,124,0.344221106,Computer and Mathematical
10140,"Aberdeen, WA",65893,68859,171,25,196,-2966,1.045012369,146,0.12755102,Architecture and Engineering
10140,"Aberdeen, WA",46944,39205,146,147,293,7739,0.835144001,-1,0.501706485,"Life, Physical, and Social Sciences"
10180,"Abilene, TX",43707,32420,30057,23636,53693,11287,0.741757613,6421,0.440206358,All (STEM and Non-STEM)
10180,"Abilene, TX",60685,50781,1602,399,2001,9904,0.836796572,1203,0.1994003,All STEM
10180,"Abilene, TX",47589,48092,651,215,866,-503,1.010569669,436,0.248267898,Computer and Mathematical
10180,"Abilene, TX",64648,60625,860,87,947,4023,0.937770697,773,0.09186906,Architecture and Engineering
10180,"Abilene, TX",47411,47383,91,97,188,28,0.99940942,-6,0.515957447,"Life, Physical, and Social Sciences"
10220,"Ada, OK",43675,35030,7331,5875,13206,8645,0.802060675,1456,0.444873542,All (STEM and Non-STEM)
10220,"Ada, OK",68417,55781,363,82,445,12636,0.815309061,281,0.184269663,All STEM
10220,"Ada, OK",76944,55729,212,61,273,21215,0.724279996,151,0.223443223,Computer and Mathematical
10220,"Ada, OK",63269,NA,108,0,108,NA,NA,108,0,Architecture and Engineering
10220,"Ada, OK",56250,55938,43,21,64,312,0.994453333,22,0.328125,"Life, Physical, and Social Sciences"
10300,"Adrian, MI",48360,38558,18112,12630,30742,9802,0.797311828,5482,0.410838592,All (STEM and Non-STEM)
10300,"Adrian, MI",76373,56875,1293,259,1552,19498,0.744700352,1034,0.166881443,All STEM
10300,"Adrian, MI",67250,55521,365,111,476,11729,0.825591078,254,0.233193277,Computer and Mathematical
10300,"Adrian, MI",90338,63295,757,50,807,27043,0.700646461,707,0.061957869,Architecture and Engineering
10300,"Adrian, MI",53208,56250,171,98,269,-3042,1.057171854,73,0.364312268,"Life, Physical, and Social Sciences"
10380,"Aguadilla-Isabela, PR",21421,21551,28271,19773,48044,-130,1.006068811,8498,0.411560236,All (STEM and Non-STEM)
10380,"Aguadilla-Isabela, PR",49955,33718,1243,676,1919,16237,0.674967471,567,0.352266806,All STEM
10380,"Aguadilla-Isabela, PR",48765,31694,502,164,666,17071,0.649933354,338,0.246246246,Computer and Mathematical
10380,"Aguadilla-Isabela, PR",54625,29451,588,274,862,25174,0.539148741,314,0.317865429,Architecture and Engineering
10380,"Aguadilla-Isabela, PR",38802,40357,153,238,391,-1555,1.040075254,-85,0.608695652,"Life, Physical, and Social Sciences"
10420,"Akron, OH",53565,41822,135812,104046,239858,11743,0.780771026,31766,0.433781654,All (STEM and Non-STEM)
10420,"Akron, OH",77175,63301,13284,3402,16686,13874,0.820226757,9882,0.203883495,All STEM
10420,"Akron, OH",78433,64209,6528,1757,8285,14224,0.818647763,4771,0.212070006,Computer and Mathematical
10420,"Akron, OH",77677,64698,5505,777,6282,12979,0.832910643,4728,0.123686724,Architecture and Engineering
10420,"Akron, OH",63998,61512,1251,868,2119,2486,0.961155036,383,0.409627183,"Life, Physical, and Social Sciences"
10460,"Alamogordo, NM",40113,28556,9263,6788,16051,11557,0.711888914,2475,0.422902,All (STEM and Non-STEM)
10460,"Alamogordo, NM",63553,77941,504,138,642,-14388,1.226393719,366,0.214953271,All STEM
10460,"Alamogordo, NM",50156,36731,169,50,219,13425,0.732335114,119,0.228310502,Computer and Mathematical
10460,"Alamogordo, NM",75962,87750,256,72,328,-11788,1.155182855,184,0.219512195,Architecture and Engineering
10460,"Alamogordo, NM",44596,44167,79,16,95,429,0.990380303,63,0.168421053,"Life, Physical, and Social Sciences"
10500,"Albany, GA",42571,35302,22147,22060,44207,7269,0.829249959,87,0.499015993,All (STEM and Non-STEM)
10500,"Albany, GA",71727,50625,1144,360,1504,21102,0.705801163,784,0.239361702,All STEM
10500,"Albany, GA",56289,55833,409,190,599,456,0.99189895,219,0.317195326,Computer and Mathematical
10500,"Albany, GA",78715,102656,425,30,455,-23941,1.304147875,395,0.065934066,Architecture and Engineering
10500,"Albany, GA",71563,46065,310,140,450,25498,0.643698559,170,0.311111111,"Life, Physical, and Social Sciences"
10540,"Albany-Lebanon, OR",51612,38716,21770,15254,37024,12896,0.750135627,6516,0.412003025,All (STEM and Non-STEM)
10540,"Albany-Lebanon, OR",66024,69333,1623,482,2105,-3309,1.050118139,1141,0.228978622,All STEM
10540,"Albany-Lebanon, OR",66031,73750,796,160,956,-7719,1.116899638,636,0.167364017,Computer and Mathematical
10540,"Albany-Lebanon, OR",80000,73304,560,132,692,6696,0.9163,428,0.190751445,Architecture and Engineering
10540,"Albany-Lebanon, OR",47917,54063,267,190,457,-6146,1.128263456,77,0.415754923,"Life, Physical, and Social Sciences"
10580,"Albany-Schenectady-Troy, NY",60087,50567,173310,140017,313327,9520,0.841563067,33293,0.446871798,All (STEM and Non-STEM)
10580,"Albany-Schenectady-Troy, NY",85635,71076,23363,7674,31037,14559,0.829987739,15689,0.247253278,All STEM
10580,"Albany-Schenectady-Troy, NY",79772,71375,10111,3591,13702,8397,0.894737502,6520,0.262078529,Computer and Mathematical
10580,"Albany-Schenectady-Troy, NY",91284,77396,10153,1841,11994,13888,0.847859428,8312,0.153493413,Architecture and Engineering
10580,"Albany-Schenectady-Troy, NY",86816,64427,3099,2242,5341,22389,0.742109749,857,0.419771578,"Life, Physical, and Social Sciences"
10620,"Albemarle, NC",46909,36658,12050,8642,20692,10251,0.781470507,3408,0.417649333,All (STEM and Non-STEM)
10620,"Albemarle, NC",59710,44539,531,164,695,15171,0.745921956,367,0.235971223,All STEM
